	Identity	Brightest Row	Brightest Column
0	5	7	13
1	0	8	20
2	4	15	18
3	1	20	11
4	9	15	15
5	2	18	18
6	1	17	14
7	3	7	18
8	1	15	14
9	4	16	12
10	3	21	16
11	5	19	13
12	3	6	15
13	6	13	15
14	1	14	13
15	7	9	9
16	2	17	17
17	8	8	12
18	6	13	10
19	9	8	12
20	4	14	18
21	0	10	20
22	9	16	11
23	1	10	10
24	1	19	16
25	2	20	18
26	4	14	16
27	3	7	17
28	2	8	18
29	7	10	10
30	3	8	15
31	8	11	14
32	6	20	11
33	9	8	12
34	0	21	11
35	5	20	15
36	6	19	13
37	0	20	18
38	7	8	16
39	6	19	11
40	1	11	14
41	8	7	16
42	7	9	15
43	9	7	15
44	3	7	16
45	9	8	14
46	8	8	15
47	5	7	11
48	9	22	16
49	3	7	17
50	3	12	16
51	0	9	20
52	7	9	15
53	4	14	13
54	9	13	14
55	8	7	15
56	0	9	9
57	9	15	10
58	4	14	17
59	1	21	12
60	4	16	21
61	4	15	12
62	6	15	12
63	0	11	10
64	4	18	16
65	5	10	13
66	6	13	10
67	1	9	14
68	0	22	6
69	0	21	18
70	1	19	14
71	7	10	12
72	1	16	14
73	6	19	15
74	3	7	16
75	0	22	19
76	2	21	16
77	1	9	11
78	1	14	16
79	7	10	12
80	9	11	19
81	0	21	19
82	2	17	19
83	6	19	14
84	7	8	15
85	8	6	16
86	3	7	13
87	9	9	10
88	0	8	8
89	4	16	11
90	6	19	10
91	7	11	18
92	4	15	18
93	6	13	14
94	8	7	14
95	0	21	18
96	7	9	14
97	8	7	12
98	3	13	16
99	1	8	16
100	5	7	12
101	7	11	13
102	1	16	14
103	7	9	18
104	1	19	13
105	1	16	13
106	6	15	10
107	3	21	18
108	0	21	6
109	2	17	13
110	9	15	18
111	3	8	19
112	1	11	14
113	1	17	16
114	0	9	7
115	4	14	12
116	9	15	16
117	2	19	8
118	0	22	9
119	0	9	20
120	2	8	18
121	0	7	8
122	2	20	17
123	7	10	8
124	1	13	14
125	8	7	15
126	6	16	11
127	4	17	10
128	1	13	15
129	6	13	13
130	3	7	16
